tempProm	nave	mes 	alimentos	expected
27	1	3	1	1
25.5	6	4	3	1
24	3	2	1	1
22.5	6	11	3	1
20	5	9	2	0
27.5	7	11	3	1
30	3	4	1	0
25	4	2	2	1
20	2	6	1	1
32	7	1	3	1
23.5	3	4	1	0
24.5	4	7	2	0
24	4	5	2	1
30	6	8	3	1
26.5	2	1	1	0
24	5	8	2	1
27	7	3	3	1
21	2	9	1	1
23	2	3	1	0
25.5	6	9	3	1
25	6	3	3	1
24	4	1	2	1
20	6	3	3	0
21	5	4	2	1
23	6	4	3	0
29	3	11	1	0
25.5	4	10	2	1
26.5	3	12	1	0
25.5	2	3	1	0
27	2	4	1	0
20	7	2	3	0
30.5	3	9	1	0
29.5	2	12	1	1
26.5	5	2	2	0
29	1	1	1	0
25.5	4	12	2	1
22.5	1	2	1	0
22.5	1	1	1	1
20	1	2	1	1
22.5	7	1	3	0
26	4	9	2	0
25	4	10	2	1
26	2	12	1	1
27.5	5	6	2	1
23	1	3	1	0
32	7	11	3	0
25.5	5	3	2	0
29.5	2	3	1	1
30	2	11	1	1
24.5	3	10	1	1
25	5	1	2	0
23.5	2	8	1	1
17	3	5	1	1
24.5	5	3	2	0
28.5	7	12	3	0
26.5	3	12	1	1
29.5	5	2	2	1
27	7	2	3	1
21	2	7	1	1
27.5	7	2	3	0
28	6	11	3	0
29	5	3	2	0
22.5	2	9	1	1
25	2	1	1	1
24	1	4	1	1
20.5	3	12	1	0
29.5	1	2	1	0
21.5	4	3	2	0
21	3	3	1	0
28	2	4	1	1
19	1	4	1	0
26.5	6	8	3	0
26.5	7	12	3	0
31.5	7	1	3	0
19	2	9	1	1
24.5	3	3	1	0
29	1	11	1	1
23	4	6	2	0
20.5	5	1	2	1
24	4	11	2	0
29	7	11	3	1
20.5	2	8	1	1
29	5	2	2	1
25.5	2	11	1	1
29	1	3	1	1
23	6	1	3	0
30.5	3	2	1	0
30.5	2	2	1	1
22	4	7	2	1
26.5	2	4	1	0
29.5	3	1	1	1
27	6	10	3	0
29	4	12	2	0
25	1	3	1	0
24	7	1	3	1
26	5	1	2	0
26	7	6	3	0
24.5	1	6	1	1
23	5	10	2	0
25	5	8	2	1
19.5	2	2	1	1
26	7	8	3	0
27	4	4	2	0
21.5	6	10	3	1
25.5	7	6	3	0
26.5	1	12	1	0
23.5	5	5	2	1
23.5	6	2	3	0
26	4	4	2	0
26	1	1	1	1
22.5	5	4	2	1
21.5	6	8	3	0
27	2	10	1	1
29	1	5	1	1
25.5	5	5	2	0
27	3	12	1	1
23.5	4	12	2	1
25	1	3	1	0
30.5	4	11	2	1
21	1	1	1	1
25.5	2	5	1	1
27.5	6	4	3	1
23.5	4	5	2	0
25.5	4	1	2	0
22.5	5	10	2	0
23	2	3	1	0
27.5	5	8	2	1
25.5	1	5	1	0
26	4	2	2	0
22	7	12	3	1
24.5	7	8	3	1
22.5	5	3	2	0
27	5	10	2	1
22.5	6	5	3	0
27	1	4	1	0
30.5	4	2	2	1
19	7	3	3	1
23.5	2	7	1	1
31	7	3	3	1
30	3	3	1	1
26.5	3	1	1	1
19	3	6	1	1
28	6	1	3	1
24.5	4	1	2	1
26.5	4	1	2	0
24	2	12	1	1
28.5	7	5	3	1
30.5	7	4	3	0
26	6	9	3	1
18	5	11	2	0
27	7	5	3	1
26	5	1	2	0
25	4	5	2	1
21.5	7	2	3	0
30	5	11	2	0
25	1	10	1	0
25.5	3	11	1	0
23	3	8	1	1
26	4	3	2	1
23.5	2	4	1	1
25.5	2	12	1	1
27	7	5	3	1
24.5	7	2	3	1
31	2	2	1	1
21	3	3	1	0
26	5	4	2	0
21	3	1	1	1
23	3	10	1	1
27.5	6	8	3	0
30.5	5	3	2	1
21.5	7	4	3	0
30.5	2	7	1	0
25.5	7	4	3	1
28	5	4	2	0
19	3	10	1	1
23.5	4	4	2	1
22.5	1	9	1	0
19	2	6	1	0
32.5	3	1	1	1
27	2	2	1	1
25.5	4	1	2	1
28	2	10	1	0
25.5	2	6	1	0
24	1	12	1	0
17	2	5	1	1
27.5	1	6	1	0
19.5	7	3	3	0
18.5	1	9	1	0
30	4	7	2	0
28.5	6	11	3	0
20.5	5	8	2	1
19.5	6	1	3	0
22.5	4	4	2	0
26	6	4	3	1
24	1	6	1	1
22.5	2	9	1	0
26	3	12	1	0
19.5	7	4	3	1
23	5	4	2	1
17	1	9	1	1
19	4	4	2	1
28	1	3	1	1
22.5	5	10	2	0
25	7	3	3	1
26	6	3	3	0
27	4	5	2	0
24	4	9	2	0
23	3	3	1	1
30	5	11	2	1
29	2	3	1	0
24.5	7	6	3	0
19.5	6	3	3	0
30	7	7	3	0
24	7	8	3	0
29.5	3	4	1	0
29.5	1	6	1	1
23.5	7	3	3	1
24.5	1	7	1	0
19.5	3	5	1	1
25	7	3	3	0
20.5	2	4	1	1
21	7	8	3	1
27	2	8	1	0
25.5	6	2	3	0
23	4	6	2	1
22	4	8	2	1
27	1	4	1	1
28	2	9	1	0
19	5	1	2	0
24.5	5	7	2	1
24.5	5	1	2	0
23	2	3	1	1
31	1	12	1	1
22.5	4	7	2	0
17.5	1	10	1	0
27	6	1	3	1
23	3	2	1	1
23	7	1	3	1
22	1	11	1	0
24.5	2	1	1	0
24.5	1	4	1	1
21	3	4	1	0
24.5	4	11	2	1
21.5	6	1	3	1
23.5	1	2	1	0
25.5	7	2	3	0
18	4	1	2	1
23.5	1	5	1	0
30.5	6	4	3	1
22	6	12	3	1
26.5	3	6	1	1
18.5	5	4	2	0
29	6	2	3	0
28.5	1	10	1	0
20.5	3	2	1	0
21.5	6	9	3	1
20	3	4	1	0
24	6	6	3	0
19	4	2	2	1
24.5	7	1	3	0
22	4	7	2	0
22	3	5	1	0
26	7	3	3	0
24.5	7	9	3	1
24.5	3	2	1	1
24	4	2	2	1
26	6	3	3	1
24.5	7	2	3	1
23	7	11	3	0
20.5	6	2	3	0
20.5	2	10	1	1
23.5	6	11	3	1
23.5	3	9	1	0
29.5	5	6	2	0
29.5	4	5	2	1
22.5	7	10	3	0
22	4	4	2	1
22.5	7	7	3	0
23	2	11	1	0
23	7	10	3	1
32	1	3	1	0
24.5	4	4	2	1
27	3	3	1	1
19.5	6	3	3	1
20.5	2	1	1	1
21	1	12	1	0
30.5	5	10	2	0
23	3	1	1	0
32	5	1	2	0
29.5	6	5	3	0
27	3	4	1	1
19.5	6	1	3	1
24	3	8	1	1
23.5	5	12	2	1
27.5	4	8	2	1
30.5	3	11	1	0
24.5	3	5	1	1
